# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.0.1 Build 232 06/12/2013 Service Pack 1 SJ Web Edition
# File: C:\FPGA\Master-DE2-70\Amiga\fpga\de2_70\Fampiga_CSV.csv
# Generated on: Mon Aug 19 09:15:50 2019

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Differential Pair
FL_ADDR[21],Output,PIN_AE20,7,B7_N1,PIN_AE20,,,,
FL_ADDR[20],Output,PIN_AJ28,7,B7_N0,PIN_AJ28,,,,
FL_ADDR[19],Output,PIN_AK28,7,B7_N0,PIN_AK28,,,,
FL_ADDR[18],Output,PIN_AD21,7,B7_N0,PIN_AD21,,,,
FL_ADDR[17],Output,PIN_AF21,7,B7_N1,PIN_AF21,,,,
FL_ADDR[16],Output,PIN_AG25,7,B7_N0,PIN_AG25,,,,
FL_ADDR[15],Output,PIN_AH24,7,B7_N0,PIN_AH24,,,,
FL_ADDR[14],Output,PIN_AK25,7,B7_N0,PIN_AK25,,,,
FL_ADDR[13],Output,PIN_AJ25,7,B7_N0,PIN_AJ25,,,,
FL_ADDR[12],Output,PIN_AK26,7,B7_N0,PIN_AK26,,,,
FL_ADDR[11],Output,PIN_AJ26,7,B7_N0,PIN_AJ26,,,,
FL_ADDR[10],Output,PIN_AH26,7,B7_N0,PIN_AH26,,,,
FL_ADDR[9],Output,PIN_AJ27,7,B7_N0,PIN_AJ27,,,,
FL_ADDR[8],Output,PIN_AH27,7,B7_N0,PIN_AH27,,,,
FL_ADDR[7],Output,PIN_AF22,7,B7_N0,PIN_AF22,,,,
FL_ADDR[6],Output,PIN_AH22,7,B7_N1,PIN_AH22,,,,
FL_ADDR[5],Output,PIN_AG22,7,B7_N1,PIN_AG22,,,,
FL_ADDR[4],Output,PIN_AF23,7,B7_N0,PIN_AF23,,,,
FL_ADDR[3],Output,PIN_AG23,7,B7_N0,PIN_AG23,,,,
FL_ADDR[2],Output,PIN_AE23,7,B7_N0,PIN_AE23,,,,
FL_ADDR[1],Output,PIN_AG24,7,B7_N0,PIN_AG24,,,,
FL_ADDR[0],Output,PIN_AF24,7,B7_N0,PIN_AF24,,,,
FL_CE_N,Output,PIN_AG28,6,B6_N3,PIN_AG28,,,,
FL_DQ[7],Bidir,PIN_Y28,6,B6_N1,PIN_Y28,,,,
FL_DQ[6],Bidir,PIN_AA29,6,B6_N1,PIN_AA29,,,,
FL_DQ[5],Bidir,PIN_AB29,6,B6_N1,PIN_AB29,,,,
FL_DQ[4],Bidir,PIN_AC29,6,B6_N1,PIN_AC29,,,,
FL_DQ[3],Bidir,PIN_AD30,6,B6_N2,PIN_AD30,,,,
FL_DQ[2],Bidir,PIN_AE30,6,B6_N2,PIN_AE30,,,,
FL_DQ[1],Bidir,PIN_AE28,6,B6_N2,PIN_AE28,,,,
FL_DQ[0],Bidir,PIN_AF29,6,B6_N2,PIN_AF29,,,,
FL_OE_N,Output,PIN_AG29,6,B6_N3,PIN_AG29,,,,
FL_RST_N,Output,PIN_AH28,6,B6_N2,PIN_AH28,,,,
FL_WE_N,Output,PIN_AJ29,6,B6_N2,PIN_AJ29,,,,
HEX0[6],Output,PIN_AD12,8,B8_N1,PIN_AD12,,,,
HEX0[5],Output,PIN_AD11,8,B8_N2,PIN_AD11,,,,
HEX0[4],Output,PIN_AF10,8,B8_N2,PIN_AF10,,,,
HEX0[3],Output,PIN_AD10,8,B8_N2,PIN_AD10,,,,
HEX0[2],Output,PIN_AH9,8,B8_N1,PIN_AH9,,,,
HEX0[1],Output,PIN_AF9,8,B8_N2,PIN_AF9,,,,
HEX0[0],Output,PIN_AE8,8,B8_N3,PIN_AE8,,,,
HEX1[6],Output,PIN_AD17,7,B7_N2,PIN_AD17,,,,
HEX1[5],Output,PIN_AF17,7,B7_N2,PIN_AF17,,,,
HEX1[4],Output,PIN_AE17,7,B7_N3,PIN_AE17,,,,
HEX1[3],Output,PIN_AG16,7,B7_N3,PIN_AG16,,,,
HEX1[2],Output,PIN_AF16,7,B7_N3,PIN_AF16,,,,
HEX1[1],Output,PIN_AE16,7,B7_N3,PIN_AE16,,,,
HEX1[0],Output,PIN_AG13,8,B8_N0,PIN_AG13,,,,
HEX2[6],Output,PIN_AE19,7,B7_N1,PIN_AE19,,,,
HEX2[5],Output,PIN_AB19,7,B7_N1,PIN_AB19,,,,
HEX2[4],Output,PIN_AB18,7,B7_N1,PIN_AB18,,,,
HEX2[3],Output,PIN_AG4,8,B8_N3,PIN_AG4,,,,
HEX2[2],Output,PIN_AH5,8,B8_N3,PIN_AH5,,,,
HEX2[1],Output,PIN_AF7,8,B8_N3,PIN_AF7,,,,
HEX2[0],Output,PIN_AE7,8,B8_N3,PIN_AE7,,,,
HEX3[6],Output,PIN_M6,2,B2_N2,PIN_M6,,,,
HEX3[5],Output,PIN_M7,2,B2_N2,PIN_M7,,,,
HEX3[4],Output,PIN_M8,2,B2_N1,PIN_M8,,,,
HEX3[3],Output,PIN_N7,2,B2_N2,PIN_N7,,,,
HEX3[2],Output,PIN_N10,2,B2_N2,PIN_N10,,,,
HEX3[1],Output,PIN_P4,2,B2_N3,PIN_P4,,,,
HEX3[0],Output,PIN_P6,2,B2_N3,PIN_P6,,,,
I2C_SCLK,Output,PIN_J18,4,B4_N2,PIN_J18,,,,
I2C_SDAT,Bidir,PIN_H18,4,B4_N2,PIN_H18,,,,
Joya[5],Input,,,,PIN_T2,3.3-V PCI,,,
Joya[4],Input,,,,PIN_P7,3.3-V PCI,,,
Joya[3],Input,,,,PIN_L1,3.3-V PCI,,,
Joya[2],Input,,,,PIN_P2,3.3-V PCI,,,
Joya[1],Input,,,,PIN_M1,3.3-V PCI,,,
Joya[0],Input,,,,PIN_P1,3.3-V PCI,,,
Joyb[5],Input,,,,PIN_T3,3.3-V PCI,,,
Joyb[4],Input,,,,PIN_K3,3.3-V PCI,,,
Joyb[3],Input,,,,PIN_K28,3.3-V PCI,,,
Joyb[2],Input,,,,PIN_L27,3.3-V PCI,,,
Joyb[1],Input,,,,PIN_M10,3.3-V PCI,,,
Joyb[0],Input,,,,PIN_N8,3.3-V PCI,,,
KEY[3],Input,PIN_U29,6,B6_N0,PIN_J25,,,,
KEY[2],Input,PIN_U30,6,B6_N0,PIN_M27,,,,
KEY[1],Input,PIN_T28,6,B6_N0,PIN_AK3,,,,
KEY[0],Input,PIN_T29,6,B6_N0,PIN_F16,,,,
LEDG[7],Output,PIN_AA24,6,B6_N2,PIN_AC27,,,,
LEDG[6],Output,PIN_AA27,6,B6_N1,PIN_AK20,,,,
LEDG[5],Output,PIN_Y23,6,B6_N2,PIN_B23,,,,
LEDG[4],Output,PIN_Y24,6,B6_N2,PIN_AK12,,,,
LEDG[3],Output,PIN_Y27,6,B6_N1,PIN_D13,,,,
LEDG[2],Output,PIN_W23,6,B6_N1,PIN_AC21,,,,
LEDG[1],Output,PIN_W25,6,B6_N1,PIN_C17,,,,
LEDG[0],Output,PIN_W27,6,B6_N1,PIN_Y29,,,,
LEDR[9],Output,PIN_AD14,8,B8_N0,PIN_J26,,,,
LEDR[8],Output,PIN_AH3,8,B8_N3,PIN_AC26,,,,
LEDR[7],Output,PIN_AJ2,8,B8_N3,PIN_F1,,,,
LEDR[6],Output,PIN_AJ3,8,B8_N3,PIN_AJ7,,,,
LEDR[5],Output,PIN_AH4,8,B8_N3,PIN_R22,,,,
LEDR[4],Output,PIN_AK3,8,B8_N3,PIN_V23,,,,
LEDR[3],Output,PIN_AJ4,8,B8_N3,PIN_Y27,,,,
LEDR[2],Output,PIN_AJ5,8,B8_N3,PIN_A9,,,,
LEDR[1],Output,PIN_AK5,8,B8_N3,PIN_C14,,,,
LEDR[0],Output,PIN_AJ6,8,B8_N2,PIN_AD19,,,,
PS2_CLK,Bidir,PIN_F24,4,B4_N0,PIN_F24,,,,
PS2_DAT,Bidir,PIN_E24,4,B4_N0,PIN_E24,,,,
PS2_MCLK,Bidir,PIN_D26,4,B4_N0,PIN_D26,,,,
PS2_MDAT,Bidir,PIN_D25,4,B4_N0,PIN_D25,,,,
SD_CLK,Output,PIN_T26,6,B6_N0,PIN_T26,,,,
SD_CMD,Output,PIN_W28,6,B6_N1,PIN_W28,,,,
SD_DAT,Input,PIN_W29,6,B6_N0,PIN_W29,,,,
SD_DAT3,Output,PIN_Y30,6,B6_N1,PIN_Y30,,,,
SRAM_ADDR[17],Output,PIN_AE11,8,B8_N2,PIN_AE11,,,,
SRAM_ADDR[16],Output,PIN_AG20,7,B7_N2,PIN_AG20,,,,
SRAM_ADDR[15],Output,PIN_AF20,7,B7_N2,PIN_AF20,,,,
SRAM_ADDR[14],Output,PIN_AC16,7,B7_N3,PIN_AC16,,,,
SRAM_ADDR[13],Output,PIN_AF15,8,B8_N0,PIN_AF15,,,,
SRAM_ADDR[12],Output,PIN_AE15,8,B8_N0,PIN_AE15,,,,
SRAM_ADDR[11],Output,PIN_AG14,8,B8_N0,PIN_AG14,,,,
SRAM_ADDR[10],Output,PIN_AF14,8,B8_N0,PIN_AF14,,,,
SRAM_ADDR[9],Output,PIN_AE13,8,B8_N1,PIN_AE13,,,,
SRAM_ADDR[8],Output,PIN_AD13,8,B8_N1,PIN_AD13,,,,
SRAM_ADDR[7],Output,PIN_AG12,8,B8_N0,PIN_AG12,,,,
SRAM_ADDR[6],Output,PIN_AE12,8,B8_N1,PIN_AE12,,,,
SRAM_ADDR[5],Output,PIN_AG5,8,B8_N3,PIN_AG5,,,,
SRAM_ADDR[4],Output,PIN_AG6,8,B8_N3,PIN_AG6,,,,
SRAM_ADDR[3],Output,PIN_AG7,8,B8_N2,PIN_AG7,,,,
SRAM_ADDR[2],Output,PIN_AH7,8,B8_N2,PIN_AH7,,,,
SRAM_ADDR[1],Output,PIN_AF8,8,B8_N2,PIN_AF8,,,,
SRAM_ADDR[0],Output,PIN_AG8,8,B8_N2,PIN_AG8,,,,
SRAM_CE_N,Output,,,,PIN_T5,,,,
SRAM_DQ[15],Bidir,PIN_AK23,7,B7_N1,PIN_AK23,,,,
SRAM_DQ[14],Bidir,PIN_AJ19,7,B7_N2,PIN_AJ19,,,,
SRAM_DQ[13],Bidir,PIN_AK19,7,B7_N2,PIN_AK19,,,,
SRAM_DQ[12],Bidir,PIN_AH18,7,B7_N2,PIN_AH18,,,,
SRAM_DQ[11],Bidir,PIN_AJ18,7,B7_N2,PIN_AJ18,,,,
SRAM_DQ[10],Bidir,PIN_AH17,7,B7_N3,PIN_AH17,,,,
SRAM_DQ[9],Bidir,PIN_AJ17,7,B7_N3,PIN_AJ17,,,,
SRAM_DQ[8],Bidir,PIN_AK17,7,B7_N3,PIN_AK17,,,,
SRAM_DQ[7],Bidir,PIN_AH16,7,B7_N3,PIN_AH16,,,,
SRAM_DQ[6],Bidir,PIN_AJ12,8,B8_N0,PIN_AJ12,,,,
SRAM_DQ[5],Bidir,PIN_AH12,8,B8_N0,PIN_AH12,,,,
SRAM_DQ[4],Bidir,PIN_AK11,8,B8_N1,PIN_AK11,,,,
SRAM_DQ[3],Bidir,PIN_AJ11,8,B8_N1,PIN_AJ11,,,,
SRAM_DQ[2],Bidir,PIN_AK10,8,B8_N1,PIN_AK10,,,,
SRAM_DQ[1],Bidir,PIN_AJ10,8,B8_N1,PIN_AJ10,,,,
SRAM_DQ[0],Bidir,PIN_AH10,8,B8_N1,PIN_AH10,,,,
SRAM_LB_N,Output,,,,PIN_G26,,,,
SRAM_OE_N,Output,,,,PIN_AA24,,,,
SRAM_UB_N,Output,,,,PIN_H11,,,,
SRAM_WE_N,Output,,,,PIN_AF27,,,,
SW[9],Input,PIN_AE27,6,B6_N2,PIN_G9,,,,
SW[8],Input,PIN_AD24,6,B6_N3,PIN_AC19,,,,
SW[7],Input,PIN_AD25,6,B6_N3,PIN_AC13,,,,
SW[6],Input,PIN_AC23,6,B6_N3,PIN_Y24,,,,
SW[5],Input,PIN_AC24,6,B6_N3,PIN_AF12,,,,
SW[4],Input,PIN_AC26,6,B6_N3,PIN_D3,,,,
SW[3],Input,PIN_AC27,6,B6_N2,PIN_C4,,,,
SW[2],Input,PIN_AB25,6,B6_N2,PIN_AJ21,,,,
SW[1],Input,PIN_AB26,6,B6_N2,PIN_G17,,,,
SW[0],Input,PIN_AA23,6,B6_N2,PIN_G16,,,,
TCK,Input,,,,PIN_AA30,,,,
TCS,Input,,,,PIN_W2,,,,
TDI,Input,,,,PIN_AH13,,,,
TDO,Output,,,,PIN_A26,,,,
UART_RXD,Input,PIN_D21,4,B4_N1,PIN_D21,,,,
UART_TXD,Output,PIN_E21,4,B4_N1,PIN_E21,,,,
VGA_B[9],Output,PIN_D19,4,B4_N2,PIN_D19,,,,
VGA_B[8],Output,PIN_C19,4,B4_N2,PIN_C19,,,,
VGA_B[7],Output,PIN_A19,4,B4_N2,PIN_A19,,,,
VGA_B[6],Output,PIN_B19,4,B4_N2,PIN_B19,,,,
VGA_B[5],Output,PIN_B18,4,B4_N2,PIN_B18,,,,
VGA_B[4],Output,PIN_C18,4,B4_N2,PIN_C18,,,,
VGA_B[3],Output,PIN_B17,4,B4_N3,PIN_B17,,,,
VGA_B[2],Output,PIN_A17,4,B4_N3,PIN_A17,,,,
VGA_B[1],Output,PIN_C16,4,B4_N3,PIN_C16,,,,
VGA_B[0],Output,PIN_B16,4,B4_N3,PIN_B16,,,,
VGA_BLANK,Output,PIN_C15,3,B3_N0,PIN_C15,,,,
VGA_CLK,Output,PIN_D24,4,B4_N0,PIN_D24,,,,
VGA_G[9],Output,PIN_A14,3,B3_N0,PIN_A14,,,,
VGA_G[8],Output,PIN_B14,3,B3_N0,PIN_B14,,,,
VGA_G[7],Output,PIN_B13,3,B3_N0,PIN_B13,,,,
VGA_G[6],Output,PIN_C13,3,B3_N0,PIN_C13,,,,
VGA_G[5],Output,PIN_A12,3,B3_N0,PIN_A12,,,,
VGA_G[4],Output,PIN_B12,3,B3_N0,PIN_B12,,,,
VGA_G[3],Output,PIN_C12,3,B3_N1,PIN_C12,,,,
VGA_G[2],Output,PIN_A11,3,B3_N1,PIN_A11,,,,
VGA_G[1],Output,PIN_B11,3,B3_N1,PIN_B11,,,,
VGA_G[0],Output,PIN_A10,3,B3_N1,PIN_A10,,,,
VGA_HS,Output,PIN_J19,4,B4_N1,PIN_J19,,,,
VGA_R[9],Output,PIN_G20,4,B4_N1,PIN_G20,,,,
VGA_R[8],Output,PIN_E20,4,B4_N2,PIN_E20,,,,
VGA_R[7],Output,PIN_F20,4,B4_N2,PIN_F20,,,,
VGA_R[6],Output,PIN_H20,4,B4_N1,PIN_H20,,,,
VGA_R[5],Output,PIN_G21,4,B4_N0,PIN_G21,,,,
VGA_R[4],Output,PIN_H21,4,B4_N0,PIN_H21,,,,
VGA_R[3],Output,PIN_D22,4,B4_N1,PIN_D22,,,,
VGA_R[2],Output,PIN_E22,4,B4_N0,PIN_E22,,,,
VGA_R[1],Output,PIN_E23,4,B4_N0,PIN_E23,,,,
VGA_R[0],Output,PIN_D23,4,B4_N1,PIN_D23,,,,
VGA_SYNC,Output,PIN_B15,3,B3_N0,PIN_B15,,,,
VGA_VS,Output,PIN_H19,4,B4_N1,PIN_H19,,,,
